id,question_id,content
A1301,T1301,由上圖「秋刀魚還是加薪了」，以及文中「為了把它留下來／只好幫它加薪了」可推知，此則粉專貼文的用意為告知秋刀魚的價格上漲。
A1302,T1302,(A)衷→終。 (B)言→沿。 (C)誤→物。 故選【D】 
A1303,T1303,(A)「承讓」承蒙退讓。常用於贏取競賽後，將勝利歸因於承蒙對方禮讓的謙詞，故不適合用於亞軍向冠軍道賀。 (B)「獻醜」露出醜態。向人表露自己技能時的謙詞，故適用於自告奮勇。 (C)「淺見」淺薄的見解。多用以表示自謙，由當事人自己使用。此處宜更為「高見」。 (D)「薄酌」謙稱自己準備的酒席不豐富，故不適合用於對主人的感謝。 故選【B】
A1304,T1304,(A)問卷題目「您是否同意廢除最低工資的設立？」阿寶的立場「最低工資要受到保障」即「不同意廢除最低工資」，故(A)錯誤。 (B)問卷題目「您是否同意禁止種植基因改造植物？」阿寶的立場「反對基因改造」即「同意禁止種植基因改造植物」，故(B)正確。 (C)問卷題目「您是否同意政府不應全面禁止動物實驗？」阿寶的立場「人類福祉應優先於其他動物」為支持動物實驗，即「政府不應全面禁止動物實驗」，故(C)錯誤。 (D)問卷題目「您是否同意政府不可為了國家建設而提高稅率？」阿寶的立場「不想多繳稅」即「同意政府不可為了國家建設而提高稅率」，故(D)錯誤。 故選【B】 
A1305,T1305,(A)由「九月中秋夜」、「玉兔」、「嫦娥」可知廣告文案融入節慶的元素。 (B)由「請全城的人暫停數羊，延緩睡眠，離開網路，到這裡來喝咖啡、聽歌、翻書、跳舞、看月亮。」可知廣告文案中邀請民眾蒞店同樂。 (C)廣告文案中，未有提及「終身學習」，並且沒有強調「學習的重要」。(D)由「九月中秋夜，月亮剛出爐，玉兔罷工，眾店打烊，只有本書店歡樂開張。」可知此文案中點出書店開幕日為晚上營業。 故選【C】
A1306,T1306,題幹中「月落星沉」的「落」字義為「脫離、下墜」。
A1307,T1307,引文中可推知在說明人生的境遇。由「一旦進入森林，草叢和荊棘擋路，情形就變了，各人專心走各人的路，尋找各人的方向」可推知當人生遭遇困境時，每個人將各自面對自己的路，尋找自我的人生方向。
A1308,T1308,(A)ㄉㄨㄟˋ (B)一ㄣˊ (C)ㄑ一ㄥˋ，無誤。 (D)ㄐㄧㄝˊ
A1309,T1309,(A)由「受制於政治考量」可知，官方的主事者常受制於政治考量。 (B)由「官方的主事者常攜帶大批補給裝備」可知，非私人支持的遠征隊。 (C)由「可主導成員的挑選」可知，私人支持遠征隊的主事者專心致志，可主導成員的挑選。 (D)由「每個人都有擅長的領域」可知，私人支持遠征隊的成員都有擅長的領域。
A1310,T1310,由本題得知，篆刻文字特點為：用筆圓轉，結構勻稱，筆畫粗細均勻。
A1311,T1311,(A)妙筆生花多用於作文比賽，宜改為口若懸河、辯才無礙。 (B)新鶯出谷多用於歌唱比賽，宜改為妙筆生花、文章斐然。 (C)鐵畫銀鉤多用於書法比賽。 (D)口若懸河多用於演說比賽，宜改為新鶯出谷、玉潤珠圓。
A1312,T1312,(A)本詩頷聯、頸聯無對仗，偶數句亦無全部押韻，故非律詩。 (B)本詩反映社會貧富差距的不合理現象，並非山居躬耕的閒適詩。 (C)從「苗疏稅多不得食，輸入官倉化為土。歲暮鋤犁傍空室，呼兒登山收橡實。」可知。 (D)本詩以農家與商賈對比，凸顯社會不公平的現象。
A1313,T1313,文章首句藉由譬喻表達「遺忘」如同舞臺打燈後的暗處。 
A1314,T1314,詞作首句的「玉」可泛指人身上玉製的配件。「玉慘花愁」表達了連美好的玉都淒涼黯淡，花都憂愁不堪，進而呈現人物的哀戚，情景交融。接著由「尊前一唱〈陽關曲〉，別個人人第五程？」可知為送別的場景，進而推論「慘」和「愁」的思緒是因為與重要之人分別。下闕則藉由「夢」間接表達已經遠離重要之人，而期望能與重要之人夢中相會；最後以「淚」呼應「雨」，直言因思念對方而淚流到天明。 
A1315,T1315,由題目「若某人說話時的語調、手勢、表情，和他所說的內容不一致或情境模糊時，人們比較容易受到語調和非語言行為的影響。」可以得知溝通時須注意說話內容和語調、手勢、表情是否一致，否則語調、非語言行為影響較深，因此(C)非語言的「臭臉」與實際內容「謝謝」不一致，導致別人認為他不開心。
A1316,T1316,(A)五穀不分：指脫離現實，昏昧無知，並非表達健康的飲食。 (B)不愧屋漏：處事光明正大，即使在無人之處，亦持心端正，無愧於神明。不適合用於形容屋子堅固。 (C)以蠡測海：見聞短小淺陋。不適合用來說明儀器測量的狀況。 (D)行將就木：年紀已大，壽命將盡。符合題意內容。
