id,question_id,選項A,選項B,選項C,選項D,A_image,B_image,C_image,D_image
S1301,T1301,徵求粉絲專頁新小編 ,預告直播促銷的期程 ,暗示秋刀魚產季將近 ,宣布調漲秋刀魚價格 ,,,,
S1302,T1302,那張字畫的真跡被竊後，至今不知所衷,他只知言襲前人作法，完全不懂得變通 ,你去失誤招領處詢問，也許能找回錢包 ,樹欲靜而風不止，為人子女盡孝要及時 ,,,,
S1303,T1303,足球賽後，亞軍隊伍向冠軍隊伍道賀：「承讓了，恭喜！」 ,同樂會時，班長自告奮勇：「如果大家不嫌棄，我就獻醜了。」 ,主席在會議的結語：「感謝各位提供的淺見，我們會審慎評估。」 ,對宴會的主人說：「謝謝你準備的薄酌，讓大家吃得非常滿足。」,,,,
S1304,T1304,問卷題目：您是否同意廢除最低工資的設立？阿寶的立場：最低工資要受到保障。阿寶的選擇：同意。,問卷題目：您是否同意禁止種植基因改造植物？阿寶的立場：反對基因改造。阿寶的選擇：同意。,問卷題目：您是否同意政府不應全面禁止動物實驗？阿寶的立場：人類福祉應優先於其他動物。阿寶的選擇：不同意。,問卷題目：您是否同意政府不可為了國家建設而提高稅率？阿寶的立場：不想多繳稅。阿寶的選擇：不同意。,,,,
S1305,T1305,融合節慶的元素 ,邀請民眾蒞店同樂,說明終身學習的重要 ,點出書店開幕日晚上營業,,,,
S1306,T1306,下「落」不明,草木疏「落」,丟三「落」四 ,水「落」石出 ,,,,
S1307,T1307,人生總有坎坷，不會永遠是平順坦途 ,不論結伴或是獨行，皆應樂觀面對人生 ,天下無不散的筵席，朋友總有分離的時候,人的選擇不同，每個人都得自己去創造未來 ,,,,
S1308,T1308,在賣場集滿點數就可「兌」換商品：ㄩㄝˋ,一望無「垠」的海面上漂流著幾艘小船：ㄍㄣ,這場音樂會的門票開賣不久就售「罄」：ㄑㄧㄥˋ ,櫃檯上的花瓶插了一束紫色的「桔」梗花：ㄓㄜˊ,,,,
S1309,T1309,政治考量較少,補給裝備較多,主事者權限較大,計畫成員較專業,,,,
S1310,T1310,,,,,S1310A.png,S1310B.png,S1310C.png,S1310D.png
S1311,T1311,比賽項目：演說。題辭：妙筆生花。,比賽項目：作文。題辭：新鶯出谷。,比賽項目：書法。題辭：鐵畫銀鉤。,比賽項目：歌唱。題辭：口若懸河。,,,,
S1312,T1312,就形式而言，是一首七言律詩 ,就類別而言，是一首山居躬耕的閒適詩 ,就內涵而言，描繪農民於繁重稅賦下艱困的生活 ,就技巧而言，以農家與商賈對比，凸顯人情的可貴,,,,
S1313,T1313,生命中的人事代謝無須遺忘,遺忘如同舞臺上光照的所在 ,不被遺忘的事物才最值得珍惜 ,遺忘越多越能看見人生光明面 ,,,,
S1314,T1314,首句情景交融，「慘」、「愁」二字點出別情,下闋首句點出「我」為了追尋理想而遠離佳人,末尾二句暗示「我」滿懷離情別緒，一夜未眠 ,上闋描寫分別時的情景，下闋描寫別後的思情 ,,,,
S1315,T1315,說話用字過度簡潔，會讓人覺得沒有禮貌 ,同樣的內容，由嚴肅的老師說出來比較具有說服力 ,朋友收到禮物時臭著臉說「謝謝」，會覺得他其實並不開心 ,聽廣播時，因看不到主持人的表情、手勢，無法判斷內容的真實性 ,,,,
S1316,T1316,飲食應注重營養均衡，五穀不分才健康 ,這房子經歷風災依然堅固，真是不愧屋漏,使用儀器以蠡測海後，他終於得到準確數據 ,對於行將就木之人，世間的一切已無須牽掛 ,,,,
S1317,T1317,夫學者之欲至於聖賢猶射者，之求中夫正鵠也。不以聖賢為準的而學者是，不立正鵠而射者也。 ,夫學者之欲至於聖賢，猶射者之求中夫正鵠也。不以聖賢為準的而學者，是不立正鵠而射者也。,夫學者之欲，至於聖賢猶射者之求中。夫正鵠也，不以聖賢為準的，而學者是不立正鵠而射者也。,夫學者之欲至，於聖賢猶射者之求。中夫正鵠也不以聖賢為準，的而學者是不，立正鵠而射者也。 ,,,,
S1318,T1318,焦尾琴因蔡邕識材而製成 ,吳人向來以燒桐製琴聞名 ,焦尾琴製成後經火烤而音色優美,蔡邕因忤逆上意而遭流放至吳郡 ,,,,
S1319,T1319,人過留名，雁過留聲,所榮者善行，所恥者惡名 ,名不可簡而成，譽不可巧而立 ,樹大招風風損樹，人為名高傷喪身 ,,,,
S1320,T1320,,,,,S1320A.png,S1320B.png,S1320C.png,S1320D.png
S1321,T1321,分析個中利害關係，鼓勵太子須建功立業,採取先抑後揚筆法，肯定太子能獨當一面 ,以工整句式加強文氣，勸諫太子應謀定而後動,列舉前人失敗的事例，提醒太子不宜心存僥倖 ,,,,
S1322,T1322,張氏行善積德，得到護佑 ,貧民虔誠祈願，感動上天,張氏田產甚多無法丈量，看不出損失,賈人福澤深厚，連帶使張田倖免於難 ,,,,
S1323,T1323,水位越低時，越需要使用高倍望遠鏡觀察,黑面琵鷺的棲地會隨著賞鳥亭的位置改變 ,賞鳥期間進入溼地的車輛全天候均須管制,非假日到溼地賞鳥，車輛可從南閘門進入 ,,,,
S1324,T1324,以繭為喻，說明教化對修身的重要 ,以身著美錦，暗指上位者奢靡誤國,以女工與賢者對照，強調環境的影響 ,以腐蠹的蠶繭，嘲諷國政的敗壞衰頹,,,,
S1325,T1325,在愛丁堡的期間是帶有目的性的停留,認為去大象咖啡館是一種偏頗的決定,因沉浸在老圖書館的氛圍裡而忘卻時間 ,討厭愛丁堡的寒冷而不願回想留學時光 ,,,,
S1326,T1326,粗心大意，挂一漏萬的情況一再出現,年少時個性尖銳，只想處處與人爭鋒,器量狹小，容不下別人一丁點的錯誤 ,眼前只有單一的目標，視野不夠開闊 ,,,,
S1327,T1327,失去原本的隱喻，使讀者無法感受作者諷刺的用意 ,混淆勳章的配色，使讀者誤解不同貴族的代表顏色,過度渲染舞蹈的功能，以為是貴族階層流行的風尚,刻意淡化階級的對立，營造出社會繁榮和諧的假象 ,,,,
S1328,T1328,作者致力於創作兒童奇幻文學作品 ,作者以虛構的情節反映現實的醜惡 ,早期中文譯者將原書的四冊內容濃縮為兩冊 ,早期譯者用「格物學」一詞是為免得罪當道 ,,,,
S1329,T1329,1990 年之前，人類並未透支地球資源,2022 年人類耗用的地球資源是前一年的1.75倍 ,每年的地球超載日之後，全球資源就會消耗殆盡 ,美國人的生活方式比多數國家的人對地球造成更大的負擔,,,,
S1330,T1330,提升畜牧業整體產量,加強野生動物保育工作,增加飲食中蔬食的比例 ,嚴防Covid-19 疫情再爆發,,,,
S1331,T1331,北宋時期的畫作可繪於絲織品上,范寬、郭熙、李唐三人係師出同門,北宋山水畫的典範首重全然描繪實景,三者中〈萬壑松風〉的成畫年代最早 ,,,,
S1332,T1332,展出的起迄日期有誤,應該標明是首次合體展覽 ,沒有按照畫家出生年分先後排序 ,未得官方核定不宜以「國寶」稱之 ,,,,
S1333,T1333,,,,,S1333A.png,S1333B.png,S1333C.png,S1333D.png
S1334,T1334,就像是光源和影子，透過光源的運用可使影子出現各種變化,就像是投影機和螢幕，投影機投射的影像須藉螢幕顯示出來,就像是自來水和水龍頭，當水龍頭開得越大，自來水的出水量就越大 ,就像是駭客與防毒軟體，當駭客發展出新病毒，防毒軟體就會再更新 ,,,,
S1335,T1335,美國媒體藉由皮爾模仿的深偽影片操縱民主,演員可以透過深偽技術增進自己的表演技巧,氾濫的深偽影片將導致民眾對社會的信任度下降,深偽技術的爭議在人類的創意會被人工智慧取代 ,,,,
S1336,T1336,以茶蟲代表大自然對人類開發的反撲,以茶蟲象徵政府官員對老百姓的監控,茶蟲不僅啃食茶葉，也啃食了古阿明一家日常生活所需 ,茶蟲為了生存無所不吃，就像古阿明為了學畫多方嘗試 ,,,,
S1337,T1337,希望古阿明能自己發現缺失 ,想要保留古阿明特有的創意,古阿明作畫時太專注，給意見也聽不進去 ,古阿明的畫作太完美，無法再提更多建議,,,,
S1338,T1338,「一旦遇事，便與里巷人無異」是因書讀得不夠多,「見一事則止知一事」意謂對事情的理解不夠全面 ,「如何氣象」其意是思索今人當前所處的環境氛圍 ,「我自己任性為之」意謂今人比古人更加不受拘束,,,,
S1339,T1339,甲文認為耳熟能詳的淺近道理，更勝於聖賢之言,乙文以古人處事的標準，評斷自身舉措是否合宜 ,二者都認為讀書應活用，不應拘泥於古人的看法,二者都覺得古人讀書講究方法，比今人更有效率 ,,,,
S1340,T1340,妾夜「亡」布八匹：損壞,令尹「信」盜之：隨意,妾子「坐」而黜：受罰 ,王「其」察之：難道 ,,,,
S1341,T1341,令尹打算偷盜布匹再將罪責嫁禍給他人,令尹主張楚國盜賊橫行是須正視的問題,楚王覺得宮中之物被盜應是令尹的責任,楚王認為不論身分地位都應該遵守法律 ,,,,
S1342,T1342,想要替兒子江乙頂罪 ,表達江乙被懲處的不公,向楚王告發郢大夫的罪行 ,建議楚王再用孫叔敖為令尹 ,,,,
