id,year,type,subject,title,description,answer,image
T1301,113,單題,應用文（書信、 題辭、對聯、柬帖、啟事、廣告）,這則粉絲專頁貼文的用意，最可能是下列何者？ ,,D,T1301.png
T1302,113,單題,字形、改錯,下列文句，何者用字完全正確？ ,,D,
T1303,113,單題,語法,下列文句中的謙詞，何者使用最恰當？ ,,B,
T1304,113,單題,現代詩文閱讀單題,根據下列問卷題目，阿寶的立場與其選擇相符的是哪一個？ ,,B,
T1305,113,單題,應用文（書信、 題辭、對聯、柬帖、啟事、廣告）,右側是某書店開幕的廣告文案。根據內容，下列敘述何者錯誤？,九月中秋夜，月亮剛出爐，玉兔罷工，眾店打烊，只有本書店歡樂開張。請全城的人暫停數羊，延緩睡眠，離開網路，到這裡來喝咖啡、聽歌、翻書、跳舞、看月亮。全面解脫白天和黑夜的時差，大量縮短月亮和地球的距離，在能見度低的抒情月光中，和嫦娥一起尋找邊樂千年的解藥。,C,
T1306,113,單題,字義,下列詞語中的「落」字，何者與「月落星沉」的「落」字意義相同？,,D,
T1307,113,單題,現代詩文閱讀單題,這段文字的觀點與下列何者相去最遠？,「人生，其實像一條從寬闊的平原走進森林的路。在平原上同伴可以結夥而行，歡樂地前推後擠、相濡以沫。一旦進入森林，草叢和荊棘擋路，情形就變了，各人專心走各人的路，尋找各人的方向。」,B,
T1308,113,單題,字音,下列文句「」中的字，何者讀音正確？,,C,
T1309,113,單題,現代詩文閱讀單題,根據本文，私人支持的遠征隊較能達成目標的原因不包含下列何者？,「由國家出資的遠征計畫，經費較高，卻少有重大發現。官方的主事者常攜帶大批補給裝備，而非輕裝簡從。且受制於政治考量，無法自行選拔合適的成員。反觀私人支持的遠征隊較能達成目標，主事者專心致志，可主導成員的挑選，每個人都有擅長的領域。」,B,
T1310,113,單題,國學常識（含文字結構與演變),根據字體特徵，下列何者最可能是〈瑯琊臺刻石〉？,,A,
T1311,113,單題,成語、俗語、 諺語、歇後 語、慣用語,下列各項比賽優勝的獎牌題辭，何者搭配最恰當？,,C,
T1312,113,單題,古典詩文閱讀單題,關於這首詩的說明，下列敘述何者最恰當？,「老農家貧在山住，耕種山田三四畝。苗疏稅多不得食，輸入官倉化為土。歲暮鋤犁傍空室，呼兒登山收橡實。西江賈客珠百斛，船中養犬長食肉。」,C,
T1313,113,單題,修辭,下列何者最接近本文作者的觀點？ ,「遺忘就像舞臺打燈後的暗處，漆黑越大片，就越能凸顯光照的明亮。遺忘幫我們揀選人生最值得珍惜的過往片段。因此，遺忘是無須哀悼的，忘的越多，就越應該把眼光投向光照的所在，那才是值得留戀的人事代謝。」,C,
T1314,113,單題,古典詩文閱讀單題,關於這闋詞的分析，下列敘述何者錯誤？,「玉慘花愁出鳳城，蓮花樓下柳青青。尊前一唱〈陽關曲〉，別個人人第五程？  尋好夢，夢難成。有誰知我此時情？枕前淚共階前雨，隔個窗兒滴到明。」,B,
T1315,113,單題,語法,下列情境，何者最符合這段文字的內容？ ,「溝通包含了三要素：內容、語調、非語言行為。若某人說話時的語調、手勢、表情，和他所說的內容不一致或情境模糊時，人們比較容易受到語調和非語言行為的影響。」,C,
T1316,113,單題,詞語,下列文句中的詞語，何者使用最恰當？,,D,
T1317,113,單題,標點符號,依據文意判斷，何者斷句最恰當？,,B,
T1318,113,單題,古典詩文閱讀單題,根據這則故事，下列敘述何者最恰當？,漢靈帝時，陳留 蔡邕，以數上書陳奏，忤上旨意，又內寵惡之，慮不免，乃亡命江海，遠跡吳郡。吳有燒桐以爨1者，邕聞火烈聲，曰：「此良材也。」因請之，削之以琴，果有美音。而其尾焦，因名「焦尾琴」。 ,A,
T1319,113,單題,成語、俗語、 諺語、歇後 語、慣用語,這句話的涵義與下列何者最接近？ ,「蝸以涎見覓，蟬以聲見黏，螢以光見獲。故愛身者，不貴赫赫之名。」,D,
T1320,113,單題,國學常識（含文字結構與演變),下列何者屬於這種造字方法？ ,在象形字上附加符號表示抽象概念，是指事的造字方法之一。,A,
T1321,113,單題,修辭,關於這段文字的寫作分析，下列敘述何者最恰當？ , 鞠武〈報燕太子丹書〉曰：「臣聞快於意者虧於行，甘於心者傷於性。今太子欲滅悁悁1之恥，除久久之恨，此實臣所當糜軀碎首而不避也。私以為智者不冀僥倖以要功，明者不苟從志以順心。事必成，然後舉；身必安，而後行。故發無失舉之尤，動無蹉跌2之愧也。太子貴匹夫之勇，信一劍之任，而欲望功，臣以為疏。」,C,
T1322,113,單題,古典詩文閱讀單題,根據本文，「張田獨無恙」的原因最可能是下列何者？ ,賈人某，至直隸界，忽大雨雹，伏禾中。聞空中云：「此張不量田，勿傷其稼。」天霽，他田偃壞，張田獨無恙。蓋張氏積粟甚富，每春間貧民皆就貸焉。償時多寡不較，悉納之，未嘗執概取盈，故鄉人名之「不量」。,A,
T1323,113,單題,應用文（書信、 題辭、對聯、柬帖、啟事、廣告）,根據本文，下列關於鰲鼓溼地賞鳥的敘述，何者最恰當？ ,目前因鰲鼓溼地水位升高，使黑面琵鷺棲息處距離賞鳥亭長達300多公尺。往年低水位時，會浮出大片沙洲，黑面琵鷺棲息在賞鳥亭前約50公尺處。今年若要觀賞牠們，務必攜帶高倍望遠鏡。 賞鳥期從11月1日到明年2月18日，期間逢假日8時至16時將實施管制，進入溼地的車輛從原本可自由進出南、北閘門，改為北閘門進，南閘門出。 ,D,
T1324,113,單題,古典詩文閱讀單題,關於本文的分析，下列敘述何者最恰當？ ,「夫繭，捨而不治，則腐蠹而棄。使女工繅1之，以為美錦，國君服而朝之。身者，繭也，捨而不治，則智行腐蠹。使賢者教之，以為世士，則天下諸侯莫敢不敬。」,A,
T1325,113,題組,現代詩文閱讀題組,關於文中的「我」，下列敘述何者最恰當？,最近經常想起愛丁堡。 可能是冬天到了的緣故，我就想起那個寒冷的城市。但想起愛丁堡時，記憶幾乎都局限在從宿舍到圖書館的一段路。其他的地方，有時連路名都想不起來了。我在那個城市住了三年多，但從離開的那天起，有關它的記憶卻迅速風乾縮小，失去細節的厚度。 在愛丁堡的期間，最常走的一段路，是從宿舍到國家圖書館。有時也會為了特定的資料，改去大學總圖或神學院圖書館。我喜歡圖書館，尤其老圖書館厚重的木頭桌椅，沉靜的氣氛和古書味。但每天最盼望的還是我給自己訂下的休息時間──下午三四點時到對街的大象咖啡館喝咖啡，吃杏仁牛角麵包，看報紙。那家咖啡館有一面窗正對著峭壁上的愛丁堡古城。從溫暖嘈雜的咖啡館，遠望冷峻的城堡，好像一種提醒。城堡的歷史以千年計，峭壁以萬年計，眼下我以時日計算的時間，不過是零頭。 二十幾歲的時候，人和城市的關係是有目的性的，有了目的就偏頗。你去到一個地方，心裡清楚它不是終點，只是為了完成些什麼，然後又收拾行李往別處去。例如留學，每個留學生的心裡都有一張時間表，底限是完成學業回家的時間──而那往往和獎學金的年限有關。懷著這張時間表生活，每一天都不是獨立的日子，「現在」不只是現在，是朝向日後而存在，日子長長地投影在未來。 那是一種生活在他方。只是當時不覺得匆忙，往後回想，才看出其中的風塵僕僕。那時我們都還不知道，攜帶著單一的目標去生活是件挂一漏萬的事。二十來歲時銳意求知，要到稍晚才學會，那個尖銳的姿態，同時也是狹窄的。 ,A,
